
 VCS Coverage Metrics Release U-2023.03_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=19 op=RK_NO_WRITE_READ rs1=9 rs2=9 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000009 rs2_data=0xe0000009
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=20 op=RK_RANDOM        rs1=10 rs2=10 wb_write=1 wb_rd=10 wb_data=0xe000000a -> rs1_data=0xe000000a rs2_data=0xe000000a
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=21 op=RK_NO_WRITE_READ rs1=10 rs2=10 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000a rs2_data=0xe000000a
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=22 op=RK_RANDOM        rs1=11 rs2=11 wb_write=1 wb_rd=11 wb_data=0xe000000b -> rs1_data=0xe000000b rs2_data=0xe000000b
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=23 op=RK_NO_WRITE_READ rs1=11 rs2=11 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000b rs2_data=0xe000000b
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=24 op=RK_RANDOM        rs1=12 rs2=12 wb_write=1 wb_rd=12 wb_data=0xe000000c -> rs1_data=0xe000000c rs2_data=0xe000000c
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=25 op=RK_NO_WRITE_READ rs1=12 rs2=12 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000c rs2_data=0xe000000c
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=26 op=RK_RANDOM        rs1=13 rs2=13 wb_write=1 wb_rd=13 wb_data=0xe000000d -> rs1_data=0xe000000d rs2_data=0xe000000d
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=27 op=RK_NO_WRITE_READ rs1=13 rs2=13 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000d rs2_data=0xe000000d
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=28 op=RK_RANDOM        rs1=14 rs2=14 wb_write=1 wb_rd=14 wb_data=0xe000000e -> rs1_data=0xe000000e rs2_data=0xe000000e
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=29 op=RK_NO_WRITE_READ rs1=14 rs2=14 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000e rs2_data=0xe000000e
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=30 op=RK_RANDOM        rs1=15 rs2=15 wb_write=1 wb_rd=15 wb_data=0xe000000f -> rs1_data=0xe000000f rs2_data=0xe000000f
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=31 op=RK_NO_WRITE_READ rs1=15 rs2=15 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000f rs2_data=0xe000000f
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=32 op=RK_RANDOM        rs1=16 rs2=16 wb_write=1 wb_rd=16 wb_data=0xe0000010 -> rs1_data=0xe0000010 rs2_data=0xe0000010
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=33 op=RK_NO_WRITE_READ rs1=16 rs2=16 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000010 rs2_data=0xe0000010
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=34 op=RK_RANDOM        rs1=17 rs2=17 wb_write=1 wb_rd=17 wb_data=0xe0000011 -> rs1_data=0xe0000011 rs2_data=0xe0000011
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=35 op=RK_NO_WRITE_READ rs1=17 rs2=17 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000011 rs2_data=0xe0000011
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=36 op=RK_RANDOM        rs1=18 rs2=18 wb_write=1 wb_rd=18 wb_data=0xe0000012 -> rs1_data=0xe0000012 rs2_data=0xe0000012
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=37 op=RK_NO_WRITE_READ rs1=18 rs2=18 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000012 rs2_data=0xe0000012
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=38 op=RK_RANDOM        rs1=19 rs2=19 wb_write=1 wb_rd=19 wb_data=0xe0000013 -> rs1_data=0xe0000013 rs2_data=0xe0000013
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=39 op=RK_NO_WRITE_READ rs1=19 rs2=19 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000013 rs2_data=0xe0000013
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=40 op=RK_RANDOM        rs1=20 rs2=20 wb_write=1 wb_rd=20 wb_data=0xe0000014 -> rs1_data=0xe0000014 rs2_data=0xe0000014
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=41 op=RK_NO_WRITE_READ rs1=20 rs2=20 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000014 rs2_data=0xe0000014
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=42 op=RK_RANDOM        rs1=21 rs2=21 wb_write=1 wb_rd=21 wb_data=0xe0000015 -> rs1_data=0xe0000015 rs2_data=0xe0000015
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=43 op=RK_NO_WRITE_READ rs1=21 rs2=21 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000015 rs2_data=0xe0000015
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=44 op=RK_RANDOM        rs1=22 rs2=22 wb_write=1 wb_rd=22 wb_data=0xe0000016 -> rs1_data=0xe0000016 rs2_data=0xe0000016
