 VCS Coverage Metrics Release U-2023.03_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
[PASS] seq=crv_seq_0                      cyc=6 op=BK_JAL             pc=0x2aeb0868 branch=0 jal=1 -> taken=0 valid=1 tgt=0x00035672
[PASS] seq=crv_seq_0                      cyc=7 op=BK_JAL_AND_BRANCH  pc=0xf74fe6ec branch=1 jal=1 -> taken=1 valid=1 tgt=0x7d434a4c
[PASS] seq=crv_seq_0                      cyc=8 op=BK_FORWARD_BRANCH  pc=0x4bf6bd4c branch=1 jal=0 -> taken=0 valid=0 tgt=0x8e996990
[PASS] seq=crv_seq_0                      cyc=9 op=BK_FORWARD_BRANCH  pc=0x023760e4 branch=1 jal=0 -> taken=0 valid=0 tgt=0x72abd2ae
[PASS] seq=crv_seq_0                      cyc=10 op=BK_FORWARD_BRANCH  pc=0x0d09dd38 branch=1 jal=0 -> taken=0 valid=0 tgt=0x1f61d340
[PASS] seq=crv_seq_0                      cyc=11 op=BK_RANDOM          pc=0xd47d69dc branch=0 jal=0 -> taken=0 valid=0 tgt=0xa617773e
[PASS] seq=crv_seq_0                      cyc=12 op=BK_JAL_AND_BRANCH  pc=0x2f652fe8 branch=1 jal=1 -> taken=1 valid=1 tgt=0xe4659408
[PASS] seq=crv_seq_0                      cyc=13 op=BK_FORWARD_BRANCH  pc=0x3fe04a60 branch=1 jal=0 -> taken=0 valid=0 tgt=0x7053b9a6
[PASS] seq=crv_seq_0                      cyc=14 op=BK_FORWARD_BRANCH  pc=0x43901104 branch=1 jal=0 -> taken=0 valid=0 tgt=0xa217b030
[PASS] seq=crv_seq_0                      cyc=15 op=BK_JAL             pc=0xb133c330 branch=0 jal=1 -> taken=0 valid=1 tgt=0x91fb5924
[PASS] seq=crv_seq_0                      cyc=16 op=BK_BACKWARD_BRANCH pc=0x00062da4 branch=1 jal=0 -> taken=1 valid=1 tgt=0xfcea9c38
[PASS] seq=crv_seq_0                      cyc=17 op=BK_IDLE            pc=0x749f0eec branch=0 jal=0 -> taken=0 valid=0 tgt=0x977094b6
[PASS] seq=crv_seq_0                      cyc=18 op=BK_FORWARD_BRANCH  pc=0x3eddbee0 branch=1 jal=0 -> taken=0 valid=0 tgt=0x737b5490
[PASS] seq=crv_seq_0                      cyc=19 op=BK_JAL             pc=0x0c370c4c branch=0 jal=1 -> taken=0 valid=1 tgt=0x8192da38
[PASS] seq=crv_seq_0                      cyc=20 op=BK_JAL_AND_BRANCH  pc=0x3b8b20c8 branch=1 jal=1 -> taken=0 valid=1 tgt=0x81c2c51c
[PASS] seq=crv_seq_0                      cyc=21 op=BK_BACKWARD_BRANCH pc=0xc6537f80 branch=1 jal=0 -> taken=1 valid=1 tgt=0xa04583b2
[PASS] seq=crv_seq_0                      cyc=22 op=BK_JAL_AND_BRANCH  pc=0x820c246c branch=1 jal=1 -> taken=1 valid=1 tgt=0x876b07fa
[PASS] seq=crv_seq_0                      cyc=23 op=BK_JAL_AND_BRANCH  pc=0x00300110 branch=1 jal=1 -> taken=0 valid=1 tgt=0x9c6efe1c
[PASS] seq=crv_seq_0                      cyc=24 op=BK_IDLE            pc=0xf1a57b48 branch=0 jal=0 -> taken=0 valid=0 tgt=0x798d5f40
[PASS] seq=crv_seq_0                      cyc=25 op=BK_FORWARD_BRANCH  pc=0x46b9a444 branch=1 jal=0 -> taken=0 valid=0 tgt=0xba560c72
[PASS] seq=crv_seq_0                      cyc=26 op=BK_FORWARD_BRANCH  pc=0x03664530 branch=1 jal=0 -> taken=0 valid=0 tgt=0x6edfd9f0
[PASS] seq=crv_seq_0                      cyc=27 op=BK_WRAPAROUND      pc=0x3b1b9130 branch=1 jal=0 -> taken=0 valid=0 tgt=0x5f8a4386
[PASS] seq=crv_seq_0                      cyc=28 op=BK_JAL             pc=0x7c2f5164 branch=0 jal=1 -> taken=0 valid=1 tgt=0x4fab661a
[PASS] seq=crv_seq_0                      cyc=29 op=BK_RANDOM          pc=0x0b6b13a4 branch=0 jal=0 -> taken=0 valid=0 tgt=0x457f40c0
[PASS] seq=crv_seq_0                      cyc=30 op=BK_JAL             pc=0x007dbfac branch=0 jal=1 -> taken=0 valid=1 tgt=0x41641be0
[PASS] seq=crv_seq_0                      cyc=31 op=BK_RANDOM          pc=0x4c56b068 branch=1 jal=0 -> taken=1 valid=1 tgt=0xe46fb204
[PASS] seq=crv_seq_0                      cyc=32 op=BK_RANDOM          pc=0x247ec7fc branch=0 jal=1 -> taken=0 valid=1 tgt=0xb25e60ae
[PASS] seq=crv_seq_0                      cyc=33 op=BK_IDLE            pc=0x932cb220 branch=0 jal=0 -> taken=0 valid=0 tgt=0xa01b1dd8
[PASS] seq=crv_seq_0                      cyc=34 op=BK_IDLE            pc=0x8c829c30 branch=0 jal=0 -> taken=0 valid=0 tgt=0x3383778c
[PASS] seq=crv_seq_0                      cyc=35 op=BK_BACKWARD_BRANCH pc=0x7a2dac04 branch=1 jal=0 -> taken=1 valid=1 tgt=0x3382e8be
[PASS] seq=crv_seq_0                      cyc=36 op=BK_RANDOM          pc=0x280fe048 branch=1 jal=0 -> taken=0 valid=0 tgt=0x85d753a2
[PASS] seq=crv_seq_0                      cyc=37 op=BK_BACKWARD_BRANCH pc=0x5cc5c6c8 branch=1 jal=0 -> taken=1 valid=1 tgt=0x2babcb6a
[PASS] seq=crv_seq_0                      cyc=38 op=BK_FORWARD_BRANCH  pc=0xc386f488 branch=1 jal=0 -> taken=0 valid=0 tgt=0x3d668e1a
[PASS] seq=crv_seq_0                      cyc=39 op=BK_FORWARD_BRANCH  pc=0x0fee240c branch=1 jal=0 -> taken=0 valid=0 tgt=0x1c4f15da
[PASS] seq=crv_seq_0                      cyc=40 op=BK_RANDOM          pc=0x5e385a7c branch=0 jal=0 -> taken=0 valid=0 tgt=0x0858d2cc
[PASS] seq=crv_seq_0                      cyc=41 op=BK_JAL_AND_BRANCH  pc=0xc2ef5c3c branch=1 jal=1 -> taken=0 valid=1 tgt=0x003025d0
[PASS] seq=crv_seq_0                      cyc=42 op=BK_JAL             pc=0x8f8b62cc branch=0 jal=1 -> taken=0 valid=1 tgt=0xb832fa52
[PASS] seq=crv_seq_0                      cyc=43 op=BK_BACKWARD_BRANCH pc=0x8311f344 branch=1 jal=0 -> taken=1 valid=1 tgt=0x78a29878
[PASS] seq=crv_seq_0                      cyc=44 op=BK_RANDOM          pc=0x6fa4ff64 branch=1 jal=0 -> taken=1 valid=1 tgt=0x47a1a5ca
[PASS] seq=crv_seq_0                      cyc=45 op=BK_JAL_AND_BRANCH  pc=0x54ab2660 branch=1 jal=1 -> taken=0 valid=1 tgt=0x5c23ddf8
[PASS] seq=crv_seq_0                      cyc=46 op=BK_FORWARD_BRANCH  pc=0xf0ca5f18 branch=1 jal=0 -> taken=0 valid=0 tgt=0x650c1436
[PASS] seq=crv_seq_0                      cyc=47 op=BK_IDLE            pc=0x4bd0e580 branch=0 jal=0 -> taken=0 valid=0 tgt=0xa06d09e8
[PASS] seq=crv_seq_0                      cyc=48 op=BK_BACKWARD_BRANCH pc=0x70984118 branch=1 jal=0 -> taken=1 valid=1 tgt=0x6870cba2
[PASS] seq=crv_seq_0                      cyc=49 op=BK_FORWARD_BRANCH  pc=0x0f553c74 branch=1 jal=0 -> taken=0 valid=0 tgt=0x8b9ec92a
[PASS] seq=crv_seq_0                      cyc=50 op=BK_BACKWARD_BRANCH pc=0x60b1dd98 branch=1 jal=0 -> taken=1 valid=1 tgt=0x458cf55a
[PASS] seq=crv_seq_0                      cyc=51 op=BK_RANDOM          pc=0x345baf24 branch=1 jal=1 -> taken=1 valid=1 tgt=0x6049273a
[PASS] seq=crv_seq_0                      cyc=52 op=BK_JAL             pc=0x5c269ed4 branch=0 jal=1 -> taken=0 valid=1 tgt=0xbe46a698
[PASS] seq=crv_seq_0                      cyc=53 op=BK_RANDOM          pc=0x71ed9e7c branch=1 jal=1 -> taken=1 valid=1 tgt=0x6189f01a
[PASS] seq=crv_seq_0                      cyc=54 op=BK_JAL_AND_BRANCH  pc=0xedb57ae0 branch=1 jal=1 -> taken=1 valid=1 tgt=0x84c9366c
[PASS] seq=crv_seq_0                      cyc=55 op=BK_FORWARD_BRANCH  pc=0x6ebcfd9c branch=1 jal=0 -> taken=0 valid=0 tgt=0x9b48b342
[PASS] seq=crv_seq_0                      cyc=56 op=BK_BACKWARD_BRANCH pc=0x7e191a54 branch=1 jal=0 -> taken=1 valid=1 tgt=0x188740fa
[PASS] seq=crv_seq_0                      cyc=57 op=BK_JAL             pc=0x3cdd9dfc branch=0 jal=1 -> taken=0 valid=1 tgt=0x29bd7302
[PASS] seq=crv_seq_0                      cyc=58 op=BK_RANDOM          pc=0x231c72e8 branch=0 jal=1 -> taken=0 valid=1 tgt=0x59123a2c
[PASS] seq=crv_seq_0                      cyc=59 op=BK_RANDOM          pc=0xe236204c branch=0 jal=0 -> taken=0 valid=0 tgt=0xea446610
[PASS] seq=crv_seq_0                      cyc=60 op=BK_IDLE            pc=0xaf9d0cd4 branch=0 jal=0 -> taken=0 valid=0 tgt=0x9a73e67c
[PASS] seq=crv_seq_0                      cyc=61 op=BK_JAL_AND_BRANCH  pc=0x2c93a62c branch=1 jal=1 -> taken=1 valid=1 tgt=0x5df6d6a0
[PASS] seq=crv_seq_0                      cyc=62 op=BK_RANDOM          pc=0xfa0f7b08 branch=0 jal=0 -> taken=0 valid=0 tgt=0xa5f47038
[PASS] seq=crv_seq_0                      cyc=63 op=BK_FORWARD_BRANCH  pc=0xdebe3bf0 branch=1 jal=0 -> taken=0 valid=0 tgt=0x3285c834
[PASS] seq=crv_seq_0                      cyc=64 op=BK_JAL             pc=0x7d563640 branch=0 jal=1 -> taken=0 valid=1 tgt=0x475f21f8
[PASS] seq=crv_seq_0                      cyc=65 op=BK_WRAPAROUND      pc=0x5f521c1c branch=1 jal=0 -> taken=0 valid=0 tgt=0xb7969a60
[PASS] seq=crv_seq_0                      cyc=66 op=BK_BACKWARD_BRANCH pc=0x3c2e12f0 branch=1 jal=0 -> taken=1 valid=1 tgt=0xf029c6e4
[PASS] seq=crv_seq_0                      cyc=67 op=BK_IDLE            pc=0x87826c70 branch=0 jal=0 -> taken=0 valid=0 tgt=0xbe3c19ae
[PASS] seq=crv_seq_0                      cyc=68 op=BK_RANDOM          pc=0x0a748d00 branch=0 jal=0 -> taken=0 valid=0 tgt=0x9c1cdac6
[PASS] seq=crv_seq_0                      cyc=69 op=BK_BACKWARD_BRANCH pc=0x9bdf103c branch=1 jal=0 -> taken=1 valid=1 tgt=0x56045c60
[PASS] seq=crv_seq_0                      cyc=70 op=BK_RANDOM          pc=0xf9a7902c branch=0 jal=0 -> taken=0 valid=0 tgt=0x5108330a
[PASS] seq=crv_seq_0                      cyc=71 op=BK_BACKWARD_BRANCH pc=0x1f1ba484 branch=1 jal=0 -> taken=1 valid=1 tgt=0xa3ef9262
[PASS] seq=crv_seq_0                      cyc=72 op=BK_BACKWARD_BRANCH pc=0xf68cdb78 branch=1 jal=0 -> taken=1 valid=1 tgt=0xb645b190
[PASS] seq=crv_seq_0                      cyc=73 op=BK_JAL             pc=0x175cfe40 branch=0 jal=1 -> taken=0 valid=1 tgt=0x943b70ac
[PASS] seq=crv_seq_0                      cyc=74 op=BK_JAL_AND_BRANCH  pc=0x0d559174 branch=1 jal=1 -> taken=0 valid=1 tgt=0x1af4b9d0
[PASS] seq=crv_seq_0                      cyc=75 op=BK_FORWARD_BRANCH  pc=0xfde64868 branch=1 jal=0 -> taken=0 valid=0 tgt=0x273fba26
[PASS] seq=crv_seq_0                      cyc=76 op=BK_RANDOM          pc=0x791fe54c branch=1 jal=0 -> taken=1 valid=1 tgt=0x12cb967c
[PASS] seq=crv_seq_0                      cyc=77 op=BK_JAL             pc=0x4b48a0a0 branch=0 jal=1 -> taken=0 valid=1 tgt=0x80a9f142
[PASS] seq=crv_seq_0                      cyc=78 op=BK_FORWARD_BRANCH  pc=0x9cbb4f60 branch=1 jal=0 -> taken=0 valid=0 tgt=0xce461f76
[PASS] seq=crv_seq_0                      cyc=79 op=BK_RANDOM          pc=0x23d98358 branch=0 jal=1 -> taken=0 valid=1 tgt=0x899ea1e2
[PASS] seq=crv_seq_0                      cyc=80 op=BK_RANDOM          pc=0x8870d5c4 branch=0 jal=1 -> taken=0 valid=1 tgt=0x7f08a62c
[PASS] seq=crv_seq_0                      cyc=81 op=BK_BACKWARD_BRANCH pc=0x87e82e78 branch=1 jal=0 -> taken=1 valid=1 tgt=0x7cf7fb7a
[PASS] seq=crv_seq_0                      cyc=82 op=BK_RANDOM          pc=0x443ac100 branch=0 jal=1 -> taken=0 valid=1 tgt=0x7b8a8ab8
[PASS] seq=crv_seq_0                      cyc=83 op=BK_FORWARD_BRANCH  pc=0xc16238b4 branch=1 jal=0 -> taken=0 valid=0 tgt=0x35599e46
[PASS] seq=crv_seq_0                      cyc=84 op=BK_IDLE            pc=0xa0e8433c branch=0 jal=0 -> taken=0 valid=0 tgt=0x5e532db6
